n_qubits,avg_fidelity,std_fidelity,avg_runtime
2,0.9978278616901136,0.0030718315025924942,0.12391304969787598
3,0.9975540149754257,0.0022301125899378306,0.13990267117818198
4,0.989774285943565,0.008956586396346928,0.12408177057902019
5,0.9693623576994234,0.030952031637327116,0.1316511631011963
6,0.9734742596229884,0.00510393320893155,0.1301286220550537
